Model,Prediction Accuracy,Recall Comparison,mAP50 Comparison,mAP50-95 Comparison
yolo11n.pt,0.9291307548595145,0.9196078431372549,0.9579468990965304,0.4434679493013755
yolo11s.pt,0.934307916685657,0.9058823529411765,0.9530266674804015,0.42038029872503724
yolo11m.pt,0.9395465729480155,0.8862745098039215,0.9414551908257539,0.42537811851752305
yolo11l.pt,0.9367871747261157,0.9058823529411765,0.9477877064248593,0.4264987842544553
yolo11x.pt,0.9043046189820665,0.9079245299461245,0.9442518295546489,0.4285447061472409
